neighbourhood_cleansed,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bathrooms_shared,logprice
VIII Appia Antica,12.48215,Private room,Private room,1,1.5,1.0,1.0,False,4.025351690735149
V Prenestino/Centocelle,12.54422,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,False,4.543294782270004
I Centro Storico,12.49117,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,False,4.787491742782046
I Centro Storico,12.4969,Entire vacation home,Entire home/apt,2,1.0,1.0,1.0,False,4.394449154672438
I Centro Storico,12.491181373596191,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,False,4.700480365792416
I Centro Storico,12.50611,Private room in rental unit,Private room,3,0.0,1.0,2.0,True,4.48863636973214
I Centro Storico,12.50517,Private room in rental unit,Private room,3,0.0,1.0,2.0,True,4.532599493153255
I Centro Storico,12.5047,Private room in rental unit,Private room,1,1.0,1.0,1.0,True,4.189654742026425
II Parioli/Nomentano,12.46928,Entire rental unit,Entire home/apt,6,1.0,2.0,3.0,False,4.700480365792416
I Centro Storico,12.48435,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,False,4.59511985013459
I Centro Storico,12.45349,Entire rental unit,Entire home/apt,5,1.0,2.0,3.0,False,5.2832037287379885
I Centro Storico,12.50326,Private room in bed and breakfast,Private room,4,1.0,2.0,2.0,False,5.288267030694535
I Centro Storico,12.50302,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,False,4.919980925828125
I Centro Storico,12.452617,Entire rental unit,Entire home/apt,5,1.0,2.0,3.0,False,4.897839799950911
XII Monte Verde,12.46965,Entire rental unit,Entire home/apt,5,1.0,3.0,4.0,False,4.174387269895637
I Centro Storico,12.46823,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,False,5.111987788356543
XIV Monte Mario,12.42458,Entire rental unit,Entire home/apt,2,1.0,1.0,5.0,False,4.700480365792416
I Centro Storico,12.46946,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,False,4.700480365792416
I Centro Storico,12.46946,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,False,4.709530201312334
I Centro Storico,12.46823,Entire vacation home,Entire home/apt,4,1.0,2.0,4.0,False,5.545177444479562
VII San Giovanni/Cinecittà,12.51897,Entire rental unit,Entire home/apt,6,1.0,2.0,5.0,False,4.31748811353631
VII San Giovanni/Cinecittà,12.52346,Private room in rental unit,Private room,2,1.0,1.0,1.0,False,4.127134385045092
I Centro Storico,12.50581,Private room in guesthouse,Private room,2,1.0,1.0,1.0,False,4.5217885770490405
I Centro Storico,12.47381,Entire rental unit,Entire home/apt,5,2.0,2.0,4.0,False,5.926926025970411
I Centro Storico,12.44703,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,False,4.700480365792416
I Centro Storico,12.46828,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,False,4.499809670330265
